title,label,video_id,channel,source_query
Python Full Course for Beginners,1,K5KVEU3aaeQ,Programming with Mosh,python course beginners
Python Full Course for Beginners,1,_uQrJ0TkZlc,Programming with Mosh,python course beginners
Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),1,fWjsdhR3z3c,Indently,python course beginners
Learn Python - Full Course for Beginners [Tutorial],1,rfscVS0vtbw,freeCodeCamp.org,python course beginners
Python for Beginners - Learn Coding with Python in 1 Hour,1,kqtD5dpn9C8,Programming with Mosh,python course beginners
Python for Beginners – Full Course [Programming Tutorial],1,eWRfhZUzrAc,freeCodeCamp.org,python course beginners
Learn Python in Only 30 Minutes (Beginner Tutorial),1,Ro_MScTDfU4,Indently,python course beginners
Python Full Course for Beginners | Complete All-in-One Tutorial | 9 Hours,1,H2EJuAcrZYU,Dave Gray,python course beginners
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],1,t8pPdKYpowI,TechWorld with Nana,python course beginners
you need to learn Python RIGHT NOW!! // EP 1,1,mRMmlo_Uqcs,NetworkChuck,python course beginners
Django Tutorial for Beginners – Build Powerful Backends,1,rHux0gMZ3Eg,Programming with Mosh,django tutorial beginners
Learn Django in 20 Minutes!!,1,nGIg40xs9e4,Tech With Tim,django tutorial beginners
Django Tutorial for Beginners | Full Course,1,OTmQOjsl0eg,Telusko,django tutorial beginners
Python Django Introduction and Beginners Tutorial,1,qcJZN1pvG6A,Dave Gray,django tutorial beginners
Django For Beginners - Full Tutorial,1,sm1mokevMWk,Tech With Tim,django tutorial beginners
Python Django Explained In 8 Minutes,1,0sMtoedWaf0,Dennis Ivy,django tutorial beginners
Django Crash Course – Python Web Framework,1,0roB7wZMLqI,freeCodeCamp.org,django tutorial beginners
Django Full Crash Course - The Professional Python Web Framework,1,u1GnZfDw5LU,NeuralNine,django tutorial beginners
Python Django 7 Hour Course,1,PtQiiknWUcI,Traversy Media,django tutorial beginners
Learn Django by Building an Online Marketplace – Python Tutorial for Beginners,1,ZxMB6Njs3ck,freeCodeCamp.org,django tutorial beginners
ALL React Hooks Explained in 12 Minutes,1,LOH1l-MP_9k,Code Bootcamp,react hooks tutorial
10 React Hooks Explained // Plus Build your own from Scratch,1,TNhaISOUy6Q,Fireship,react hooks tutorial
All React Hooks Explained - React Hooks Tutorial 2025,1,xfKYYRE6-TQ,PedroTech,react hooks tutorial
Aprenda REACT HOOKS em 30 minutos | Tutorial sobre Hooks,1,Fc-___dblSI,Fernanda Kipper,react hooks tutorial
All React Hooks Tutorial ( +Building Custom Hooks ),1,4Ak2jFEIr9o,RoadsideCoder,react hooks tutorial
All React Hooks Explained in 2 Hours | Complete React Hooks Tutorial with Example,1,6wf5dIrryoQ,GreatStack,react hooks tutorial
Tutorial React hooks | Todos los React hooks explicados 🪝,1,jaLl4ErmU44,Code with Beto en Español,react hooks tutorial
React Hooks in ONE Shot 2025 [ EASIEST Explanation ] | React JS Tutorial,1,HnXPKtro4SM,Code Bless You,react hooks tutorial
Learn React Hooks: useEffect - Simply Explained!,1,-4XpG5_Lj_o,Cosden Solutions,react hooks tutorial
React Hooks Tutorial - 1 - Introduction,1,cF2lQ_gZeA8,Codevolution,react hooks tutorial
Learn Basic SQL in 15 Minutes | Business Intelligence For Beginners | SQL Tutorial For Beginners 1/3,1,kbKty5ZVKMY,Adam Finer - Learn BI,sql tutorial beginners
SQL Tutorial for Beginners,1,h0nxCDiD-zg,Kevin Stratvert,sql tutorial beginners
SQL Course for Beginners [Full Course],1,7S_tz1z_5bA,Programming with Mosh,sql tutorial beginners
SQL Explained in 100 Seconds,1,zsjvFFKOm3c,Fireship,sql tutorial beginners
What is SQL? [in 4 minutes for beginners],1,27axs9dO7AE,Danielle Thé,sql tutorial beginners
SQL Tutorial - Full Database Course for Beginners,1,HXV3zeQKqGY,freeCodeCamp.org,sql tutorial beginners
Learn 12 Basic SQL Concepts in 15 Minutes (project files included!),1,_vxobA36UN4,Maven Analytics,sql tutorial beginners
you need to learn SQL RIGHT NOW!! (SQL Tutorial for Beginners),1,xiUTqnI6xk8,NetworkChuck,sql tutorial beginners
